序号,名称,可能添加的食品品种,检测方法
30,玉米赤霉醇,牛羊肉及肝脏、牛奶,GB/T 21982-2008 动物源食品中玉米赤霉醇、β-玉米赤霉醇、α-玉米赤霉烯醇、β-玉米赤霉烯醇、玉米赤霉酮和赤霉烯酮残留量检测方法，液相色谱-质谱/质谱法
31,抗生素残渣,猪肉,无，需要研制动物性食品中测定万古霉素的液相色谱-串联质谱法
32,镇静剂,猪肉,参考GB/T 20763-2006 猪肾和肌肉组织中乙酰丙嗪、氯丙嗪、氟哌啶醇、丙酰二甲氨基丙吩噻嗪、甲苯噻嗪、阿扎哌垄阿扎哌醇、咔唑心安残留量的测定，液相色谱-串联质谱法,无，需要研制动物性食品中测定安定的液相色谱-串联质谱法
33,荧光增白物质,双孢蘑菇、金针菇、白灵菇、面粉,蘑菇样品可通过照射进行定性检测,面粉样品无检测方法
34,工业氯化镁,木耳,无
35,磷化铝,木耳,无
36,馅料原料漂白剂,焙烤食品,无，需要研制馅料原料中二氧化硫脲的测定方法
37,酸性橙Ⅱ,黄鱼、鲍汁、腌卤肉制品、红壳瓜子、辣椒面和豆瓣酱,无，需要研制食品中酸性橙II的测定方法。参照江苏省疾控创建的鲍汁中酸性橙II的高效液相色谱-串联质谱法,（说明：水洗方法可作为补充，如果脱色，可怀疑是违法添加了色素）
38,氯霉素,生食水产品、肉制品、猪肠衣、蜂蜜,GB/T 22338-2008 动物源性食品中氯霉素类药物残留量测定
39,喹诺酮类,麻辣烫类食品,无，需要研制麻辣烫类食品中喹诺酮类抗生素的测定方法
40,水玻璃,面制品,无
41,孔雀石绿,鱼类,GB20361-2006水产品中孔雀石绿和结晶紫残留量的测定，高效液相色谱荧光检测法（建议研制水产品中孔雀石绿和结晶紫残留量测定的液相色谱-串联质谱法）
42,乌洛托品,腐竹、米线等,无，需要研制食品中六亚甲基四胺的测定方法
43,五氯酚钠,河蟹,SC/T 3030-2006水产品中五氯苯酚及其钠盐残留量的测定　气相色谱法
44,喹乙醇,水产养殖饲料,水产品中喹乙醇代谢物残留量的测定 高效液相色谱法（农业部1077号公告－5-2008）；水产品中喹乙醇残留量的测定 液相色谱法（SC/T 3019-2004）
45,碱性黄,大黄鱼,无
46,磺胺二甲嘧啶,叉烧肉类,GB20759-2006畜禽肉中十六种磺胺类药物残留量的测定 液相色谱-串联质谱法
47,敌百虫,腌制食品,GB/T5009.20-2003食品中有机磷农药残留量的测定
48,邻苯二甲酸酯类物质，主要包括：邻苯二甲酸二（2-乙基）己酯（DEHP）、邻苯二甲酸二异壬酯（DINP）、邻苯二甲酸二苯酯、邻苯二甲酸二甲酯（DMP）、邻苯二甲酸二乙酯（DEP）、邻苯二甲酸二丁酯（DBP）、邻苯二甲酸二戊酯（DPP）、邻苯二甲酸二己酯（DHXP）、邻苯二甲酸二壬酯（DNP）、邻苯二甲酸二异丁酯（DIBP）、邻苯二甲酸二环己酯（DCHP）、邻苯二甲酸二正辛酯（DNOP）、邻苯二甲酸丁基苄基酯（BBP）、邻苯二甲酸二（2-甲氧基）乙酯（DMEP）、邻苯二甲酸二（2-乙氧基）乙酯（DEEP）、,邻苯二甲酸二（2-丁氧基）乙酯（DBEP）、邻苯二甲酸二（4-甲基-2-戊基）酯（BMPP）等。,乳化剂类食品添加剂、使用乳化剂的其他类食品添加剂或食品等,GB/T 21911 食品中邻苯二甲酸酯的测定
