category,desc,additives
凝固剂,凝固剂是使食品结构稳定、使加工食品的形态固化、降低或消除其流动性、且使组织结构不变形、增加固形物而加入的物质,硫酸钙、氯化钙、氯化镁、丙二醇、乙二胺四乙酸二钠、柠檬酸亚锡二钠、葡萄糖酸-δ-内酯、不溶性聚乙烯吡咯烷酮
膨松剂,膨松剂，又称疏松剂，是在食品加工过程中加入的，能使产品发起形成致密多孔组织，从而使制品具有膨松、柔软或酥脆的物质,葡萄糖酸-δ,碳酸氢钠、碳酸氢铵、轻质碳酸钙、硫酸铝钾、硫酸铝铵
胶姆糖基础剂,胶姆糖基础剂是赋予口香糖和泡泡糖等胶姆糖起泡、增塑、耐咀嚼的物质,胶姆糖
水分保持剂,为了在食品加工中保持肉类及水产品的水分，增强原料的水分稳定性和持水性，有时候需要添加水分保持剂,乳酸盐、甘油、丙二醇、麦芽糖精、山梨糖醇和聚葡萄糖、磷酸盐
抗结剂,防止颗粒或粉状食品聚集结块，保持它们的松散或自由流动,亚铁氰化钾、硅铝酸钠、磷酸三钙、二氧化硅和微晶纤维素。除亚铁氰化钾和磷酸三钙
防腐剂,防腐剂是指一类加入食品中能防止或延缓食品腐败的食品添加剂，其本质是具有抑制微生物增殖或杀死微生物的一类化合物,苯甲酸及其盐类、山梨酸及其盐类、对羟基苯甲酸及其酯类、乳酸、亚硫酸及其盐类、二氧化碳、亚硝酸盐类、游离氯及次氯酸盐
抗氧化剂,氧化作用是食品加工和保藏中所遇到的最为普遍的变质现象之一。食品被氧化后，不仅色、香、味等方面会发生不良的变化，还可能产生有毒有害物质。为防止因氧化引起的食品变质，GB 2760—2011规定可在食品中添加少量的可起到延迟或阻碍氧化作用的物质，这些物质就是抗氧化剂,茶多酚（TP）、生育酚、黄酮类、丁基羟基茴香醚（BHA）、二丁基羟基甲苯（BHT）、叔丁基对苯二酚（TBHQ）
稳定剂,稳定剂，顾名思义，就是使食品结构稳定，增强食品黏性固形物的一类添加剂,谷氨酰胺转氨酶、氯化钙、乳酸钙、柠檬酸钙、丙二醇、柠檬酸亚锡二钠、柠檬酸、苹果酸、酒石酸、多聚磷酸、EDTA
消泡剂,消泡剂是在食品加工过程中用来降低表面张力、消除泡沫的物质,脂肪醇、蜡、脂肪族酰胺、聚二甲基硅氧烷、聚氧丙烯氧化乙烯甘油醚
面粉处理剂,面粉处理剂是使面粉增白和提高焙烤制品质量的一类食品添加剂,胡萝卜素、L-半胱氨酸盐酸盐、抗坏血酸、偶氮甲酰胺、碳酸镁、碳酸钙、过氧化苯甲酰、溴酸钾和偶氮甲酰胺
酶制剂,酶制剂的应用可提供新的食品品种，简化原有的生产工艺，增加产品产量，改善产品品质，降低原材料消耗并消除环境污染。,木瓜蛋白酶、α-淀粉酶制剂、精制果胶酶、β-葡萄糖酶、
食品工业用加工助剂,有助于食品加工工序顺利进行而添加的各种物质称为加工助剂。这些物质与食品本身不一定有关，它们一般应在食品中除去而不应成为最终食品的成分，或仅有残留。通常食品的加工需加入各种辅助物质，如助滤、澄清、吸附、润滑、脱模、脱色、脱皮、提取溶剂、发酵用营养物质等,乙二胺四乙酸二钠
被膜剂,被膜剂是指涂抹于食品外表，起保质、保鲜、上光、防止水分蒸发等作用的物质。被膜剂主要应用于水果、蔬菜、软糖、鸡蛋等食品的保鲜,棕榈蜡、紫胶、矿物油、硬脂酸、蜂蜡
营养强化剂,为增强营养成分而加入食品中的天然的或人工合成的属于天然营养素范围的食品添加剂,钙、铁、锌、硒、镁、钾、钠、铜、维生素A、维生素D、维生素E、维生素C、B族维生素、叶酸、生物素、氨基酸类，如牛磺酸、赖氨酸、二十二碳六烯酸（DHA）、膳食纤维、卵磷脂
